,filename,caption,image_text
0,2016-04-06_13-26-57_UTC.json,#VaxXed #CongressionalHearingsNow,"April is Autism Crisis Awareness Month
1980 and before: 1 in 10,000 to 15,000
1990 1 in 5000
2015 1 in 45
Projected: 2032 -1 in 2
Autism awareness month comes without most people questioning
why we have this now? We didn't need it 25 yrs ago.
We caused this epidemic with vaccines.
AUTSM
#HearUs
#HearThis Well
5m
"
1,2017-11-04_05-25-05_UTC.json,"Vaccine Campak @bilqis_khanzaaz 💉
#daughter #vaccines #campak #family #love #wife 
@qotrinnida","KRopPi
Lecoapn
Frog
Crocaile
Zetra
"
2,2017-11-11_15-41-21_UTC.json,Because giving Hep B shots to infants are so efficient and totally logical 🙄 #vaccinetruth  #vaccineinjury #vaccineingredients #vaccinechoice #vaxxedthemovie #bigpharma #followthemoneytrail, 
3,2018-07-29_20-08-32_UTC.json,"👏🏼👏🏼
.
.
.
#truth #itsscience #vaccinessavebro #twins #boygirltwins #twinstagram #childhoodsclothing @childhoodsclothing @jennymilazzocreations @leblancpediatrics","VACCINES
SAVE,
VACCINES
SAVE,
BRO
BRO
"
4,2016-04-24_16-31-09_UTC.json,Been down with a bad flu.. Enjoy your Sunday :) #znationlovers #znation #dontletthezombiesbite  #znationmurphy  #themurphy  #vaccine  #nom #frackingzombies  #themission  #thecure  #operationbitemark  #zs  #z1n1  #zombieapocalypse #zombieapocalypseface  #zombies #theasylum  #sunday  #goodmorning  #goodnight #netflix #haveagoodday  #bebacklater  #keepontruckin,"GOOD NIGHT,
DON'T LPT THE ZÓMBIES BITE!
ionlorers
"
5,2018-10-30_16-00-41_UTC.json,"Flu shot ✅ So glad my work had flu shots 😷in house this year! This was my first time ever getting one and made it so easy to do. I ignorantly believed I shouldn’t have to put something in me to prevent it. That it wasn’t natural. The more I researched this past year I was SO wrong. Also, getting the flu last year and fainting in a CVS wasn’t really fun either. So no more messing around! And you shouldn’t either. Get it done! #flushot #vaccines #protectyourself","Flu Clinic Event
Event. FIU Shots!
Date: 10/30
Time/Place: Blue Conferance
Room
Contact:
1
- 1
ask Tara for
Notes: questions!
Notes:
60
ahealth
"
6,2019-02-14_22-11-52_UTC.json,"Happy Valentine’s Day! ❤️💉
Keep your loved ones safe!!#vaccineswork","WILL YOU BE MY
VALENTINE ?
HAVE YOU BEEN
VACCINATED?
2011
CPW
"
7,2017-04-12_17-44-49_UTC.json,"ASEA and Fibromyalgia & Autoimmune disorders.

Think of both Fibromyalgia and Chronic Fatigue Syndrome as ""ENERGY CRISIS"" disorders.
 The goal of therapy is to return ""energy"" to the tissues so that the organs can function properly. 
In that scenario, you have to chase down everything that is either stealing energy from the tissues (cells) , preventing energy from getting to the tissues or preventing the production of the energy molecules.

With as little as four ounces of ASEA Redox Supplement a day, (i take 12oz for shingles agony in spine) you are restoring something native to your own body—the exact kind of redox signaling molecules you create yourself, but in the quantities you need for optimum health.

Hundreds of thousands of people from all over the world are already experiencing the benefits of improved cellular health. ASEA Redox Supplement has been shown to make positive shifts in blood serum biomarkers over a 24-hour period, beginning within the first 30 minutes. In other words, as soon as you drink it, it starts working, and keeps working all day.

Because the molecules in ASEA Redox Supplement are native to the body, they enhance vital cellular function to achieve optimal health and wellness—and the supplement itself is 100% safe and nontoxic.

ORDER TODAY AT : www.EarthPatriots.com 
#tommysgarage #earthpatriot #houston #texas #fox26houston #abc13eyewitness #wellness #healthcare #nutrition #fitnessmodel #personaltrainer #athletes #yoga #fitness #workout #personaltrainer #training #fitnesstrainer #beautiful #look #swag #style #vaccines #recovery #sports #organic #naturalsolutions #skincare #businessopportunity #money","WHY EVERYONE
IS TALKING
ABOUT HOW TO
REPLENISH
YOUR
REDOX
"
8,2018-03-21_10-50-46_UTC.json,Me & the bump are off to get our whooping cough vaccine 💉 #mumtobe #babybump #26weeks #babyboy #vaccines #whoopingcough #babyd #pregnancycountdown #maternityleggings #cantfitinmyjeans #pregnancyjourney,"D
"
9,2019-03-01_14-20-02_UTC.json,#antivaxmemes #funnymemes #meme,"jessi
@JessiTheDolll
vaccines literally injects you with a
disease/illness you could possibly have
no association with just to fight it off...
my kids will pass.
Yung Buñuelo
@Povediitz
Oh they'll pass alright
"
10,2013-08-02_12-44-42_UTC.json,#vaccine #ignorance #health,"And the evil Mr. Vaccine played his flute
of never getting polio or smallpox ever
again, luring the children straight to the
town of Notice How Nobody
Gets Polio Or Smallpox
Anymore.
UN
AVA
Taried To The Sea.com
"
11,2017-10-16_12-28-58_UTC.json,"**VACCINE INJURY STORIES IN LITTLE ROCK, AR NEEDED**
The VAXXED bus will be in Little Rock on Wednesday 11/29. Please EMAIL your vaccine injury stories to vaxxedLR@gmail.com #vaxfree #vaxxed #vaccineinjuryawareness #pollytommey #delbigtree #vaxxedtour","VAC CINE
S TORIE S
IN JUR Y
0,2
0,3
-0,4
0.5
0,6
0.7
0,
0,9
1,0
"
12,2018-05-17_22-40-27_UTC.json,#nwo #karma #truthseeker #gmo #chemtrails #fluoride #ego #matrix #wisdom #vaccines #gwentowers #falseflag #mindcontrol #society #flatearth #monsanto #firmament #hairstyles #hairstyle #haircut #barber #artofmanliness #intuition #growyourbeard #growyourhair #beard #hair,"Kesh (hair):
The keeping of uncut hair is given a great deal of
importance in Sikhism. But what is so special about
hair?
Historical significance: Well the history of hair
goes back to the Bible. The Bible talks of a man
called Sampson who obtained supernatural powers
through his long hair. His hair was later cut and
consequently he lost his powers.
It is also a fact that most of the world's prophets
and saints including Jesus, the Sikh Gurus and
Hindu prophets kept uncut hair.
"
13,2018-10-28_21-17-37_UTC.json,"Do you trust Monsanto and GMO? """" A major aspect of many conspiracy theories is the fear that large agribusinesses, especially Monsanto are working to undermine the health and safety of the general public by introducing and promoting GMOs in the food supply. One claim is that Monsanto is deliberately hiding scientific evidence that GMOs are harmful. Some anti-GMO activists claimed that Monsanto infiltrated both the American Food and Drug Administration and the American Association for the Advancement of Science which is why the two organizations have supported the scientific evidence for the safety of the genetically engineered food available for human consumption."""" https://en.m.wikipedia.org/wiki/GMO_conspiracy_theories
👀🤯
Follow @thecrazyconspi for more crazy facts and conspiracy theories!
.
.
.
#food #gmo #gmos #conspiracy #conspiracytheory #fact #theory #whatdoyouthink #agriculture #vegan #didyouknow #Monsanto #chemtrail #depopulation ##health #healthy #science #greed #healthyfood #poison #apocalypse #endtimes #endtime #dna #vaccine","MONSANTO,
Corruption and the Cancer Causing Dangers of GMO Foods
DANGER
GMO FOOD
GC
crazy a conspi
@THECRAZYCONSPI
GMO conspiracy theories claims that agribusi-
nesses, especially Monsanto, have suppressed
data showing that GMOs cause harm,
deliberately cause food shortages to promote the
use of GM food, or have co-opted government
agencies such as the United States Food and
Drug Administration or scientific societies
such as the American Association for the
Advancement of Science.
www.Desktop
"
