,filename,image,caption,image_text
0,2016-05-11_11-16-05_UTC.json,https://storage.cloud.google.com/procvaxx/2016-05-11_11-16-05_UTC.png,Nurture #fnaf #feminism #blacklivesmatter #minecraft #kids #vaccineskillkids #autismawareness #fnafhentaiclub #feelthebern2016 #realniggahours #liberal  #menarepigs #COD #callofduty #callofdutyinfinitewarfare #genderfluid,"I'm moving to Canada if you
become President
Nobody cares lol
"
1,2019-02-26_01-04-08_UTC.json,https://storage.cloud.google.com/procvaxx/2019-02-26_01-04-08_UTC.png,Please and thank you. #vaxxed #vaccineissues #vaccines #vaccineinjuryact1986 #vaccinessavelives #vaccinefree,"DUDE, IF MY KID CANT BRING
PEANUT BUTTER TO SCHOOL
inglip.com
YOURS SHOULDNT BE ABLE TO
BRING PREVENTABLE DISEASES.
CHILDREN RECENTLY VACCINATED WITH
A LIVE VIRUS SHOULD STAY
HOME THE RECOMMENDED 4-6 WEEKS
TO PREVENT SHEDDING TO OTHER CHILDREN.
"
2,2015-02-03_00-33-26_UTC.json,https://storage.cloud.google.com/procvaxx/2015-02-03_00-33-26_UTC.png,"Rough pencils for an upcoming pro-vaccination MEASLEY MOUSE parody  design for TeeFury. More to come...
#disneydesecrations #measles #vaccinate #vaccination #antiantivaccer","WAST
POP!
"
3,2018-09-26_10-20-27_UTC.json,https://storage.cloud.google.com/procvaxx/2018-09-26_10-20-27_UTC.png,"Staff Nurse Ingvarsson standing next to a very sorry looking flu virus.

@morecambebayhospitals

#flukills #getyourjab #vaccineswork #staffnurseingvarsson","0 Quadrivalent Influenza
Vaccine (split virion,
inactivated), suspension
for injection in pre-filled
syringe
10 pre-filled syringes (0.5 ml) with attached needle
Intramuscular (IM) or suba
s
(SC) use
NOFI PASTEUR
"
4,2018-12-09_02-34-50_UTC.json,https://storage.cloud.google.com/procvaxx/2018-12-09_02-34-50_UTC.png,"What a wonderful time to not be sick
#fluseason #sick #vaccines","I think I need
antibiotics for my
(IT'S A VIRUS!
col...
"
5,2017-10-16_13-45-29_UTC.json,https://storage.cloud.google.com/procvaxx/2017-10-16_13-45-29_UTC.png,Tomorrow's Health Talk Tuesday is all about vaccines :syringe: We're going to do our best to help demystify this important topic so you feel empowered to make safe choices for you and your family! Bring questions and an open mind :thinking_face:10/17 6:30-7:00pm in our office or on Facebook Live! #healthypeople2020 #vaccines #healthtalk #questioneverthing, 
6,2019-02-27_01-53-54_UTC.json,https://storage.cloud.google.com/procvaxx/2019-02-27_01-53-54_UTC.png,"Because sometimes, alternatives are necessary...
KAT VON D LOLITA PALETTE COMPARISON/DUPES WITH MAC COSMETICS AND COLOURPOP EYESHADOWS.
.
Let me know which palette you want to see next!
.
If you like those series and want to support me, learn more about my DUPE PROJECT (link in BIO) or here: https://bit.ly/2Iyb0AG
You can also go check out my Highlight story for more.
.
For those who want different options or are interested in a few shades, this is my new series!
As always, the eyeshadows that I compared are the closest shades that I can find in the MAC and COLOURPOP entire eyeshadow collections.
Buying the whole set of products is more expensive than buying the palette obviously...
I hope you’ll enjoy this one and me know what you would like to see next!
MORE PICTURES, SIDE BY SIDE SWATCHES AND CLOSE UPS NEXT!
.
1 Mac eyeshadow: $7
1 Colourpop eyeshadow: $5
.
DUPE LIST:
Yogurt (MAC)
Petal Pusher (Makeup Geek)
BlackBerry (MAC)
Chic Happens (CP)
Cute Alert (CP)
Get Out (CP)
Sketch (MAC)
Shadowy Lady (MAC)
.
FOR MORE DUPES, SEARCH:
#FutilitiesMoreDUPES
#FutilitiesMorePALETTES 
#FutilitiesmoreCOLOURPOP
#FutilitiesMoreSWATCHES 
#FutilitiesMoreMAC
.
.
.
#futilitiesmore #futilitiesandmore  #colourpop #colourpopcosmetics #colourpopme  #colourpopeyeshadows #eyeshadowdupes #makeupdupes #dupes #eyeshadowpalettedupes #maccosmetics #maceyeshadows #macdupes #vaccinateyourkids","BA
Malta za
sebe unit. Dpaletthe fores
tiere
X
1978 x 0.04 0
W
promesa
besitos
coragen
sterno
recuerdos hermosura con amor lolita
FUTILITIESMORE
related
Yogurt
(MAC)
Petal
Pusher
(MUG)
BlackBerry
(MAC)
Se
Chic
Happens
(CP)
Cute
Alert
(CP)
Get Out
e
Sketch
(MAC)
Shadowy
Lady
(MAC)
(CP)
KAT VON D LOLITA PALETTE
Yogurt (MAC) - Petal Pusher (MUG) - BlackBerry (MAC) - Chic Happens (CP)
Cute Alert (CP) - Get Out (CP) - Sketch (MAC) - Shadowy Lady (MAC)
"
7,2019-02-16_02-19-04_UTC.json,https://storage.cloud.google.com/procvaxx/2019-02-16_02-19-04_UTC.png,"MEGA MFIN FLOP ME DUDES. I have a love hate relationship with Anti-Vaxx morons. They are the COMEDY FUCKING GOLD, but also actively put children in danger of dying from preventable diseases. My admin name is vax for a reason :OK_hand:. TL;DR: vaccinate y'all kids, or dont have any uwu:sparkling_heart:
Vax.:syringe:
.
#flop #flopaccount #flops #vaxxhappened #vaxx #vaccines #vaccinateyourkids #yikes #crusty","2,376
posts
30.7k 1,550
Followers Following
BEWARE THE
E.
Follow
Beware TheNeedle
Community
and No Vaccine Is Safe
** SHARE MY POSTS!.. more
www.etsy.com/shop/Beware TheNeedleShop
unt
the 195
Jack
cent
TTORIDEFRID
Films
Fluoride Frid...
History
Vaxxed Health
Me
"
8,2019-04-10_04-00-49_UTC.json,https://storage.cloud.google.com/procvaxx/2019-04-10_04-00-49_UTC.png,"The destructive effects of widespread stupidity cannot be overstated.
.
.
.
.
.
.
.
.
.
.
.
#AntiVaxxers #Brooklyn #BillDeBlasio #Measles #NewYork #NewYorkCity","The New York Times
SUBSCRIBE LOG IN
Measles Outbreak: New York
Declares Health Emergency,
Requires Vaccinations in
Parts of Brooklyn
CNCY
NE
S
hatt
WYN
SHOES
'ban ay
hon
WWW
"
9,2019-01-21_10-54-41_UTC.json,https://storage.cloud.google.com/procvaxx/2019-01-21_10-54-41_UTC.png,"Sending warm wishes of central heating to the people of the Baltic nation of Latvia this week as the country heads into the week forecast to be its coldest week of 2019. Temperatures in the inland northeast region of the country (pictured) are expected to reach as low as -25 Celsius (-13 Fahrenheit).<p>This forecast comes on the heels of last week’s announcement that the country’s current outbreak of influenza has officially reached the level of being designated an epidemic, with more than 75 residents per 100,000 being affected in the capital city of Riga.

The Disease Prevention Control Centre has recommended that affected individuals remain at home and wash their hands regularly - and recommends that all residents consider an influenza vaccination to curb the spread of the infection.<p>(Sources: Valmieras Zinas & the Baltic News Network)

#arch #archways #facades #facadesofbuildings #baretreesrock #travelphotographer #BalticStates #Latvia:Latvia: #Latvija #Läti #Latvija:Latvia: #Latvijas #Latvian  #Vidzemespieturas #Vidzeme #Cesu #Cēsis #Cesis #auksts #ziema #influenza #gripa #epidemic @karenjoyroth #vaccines #galleryartists #fineartphotographers #fineartphotographerEurope #giantsquare", 
